userID,itemId
1,814
1,1189
1,408
1,1467
1,1449
1,1500
1,919
1,1599
1,851
1,1201
2,814
2,1189
2,1449
2,1500
2,408
2,1653
2,1398
2,169
2,1467
2,98
3,169
3,127
3,89
3,50
3,114
3,56
3,64
3,902
3,1189
3,1467
4,1653
4,1189
4,1616
4,1201
4,1599
4,1594
4,1500
4,1122
4,1467
4,814
5,814
5,1467
5,1500
5,119
5,1449
5,1189
5,114
5,1240
5,1599
5,127
6,1189
6,814
6,1467
6,851
6,1599
6,1449
6,1653
6,1536
6,1500
6,1482
7,814
7,1189
7,1467
7,1653
7,1122
7,1500
7,1594
7,1599
7,851
7,1536
8,1189
8,814
8,408
8,1449
8,851
8,98
8,1500
8,1599
8,169
8,64
9,1189
9,1653
9,1599
9,1201
9,814
9,1122
9,1500
9,1452
9,1398
9,1130
10,1189
10,814
10,1467
10,1653
10,1599
10,1500
10,1449
10,1536
10,1122
10,851
11,814
11,1189
11,1653
11,1467
11,1500
11,1599
11,1594
11,1201
11,1616
11,1122
12,1189
12,1599
12,814
12,1653
12,1467
12,1536
12,1201
12,1449
12,1594
12,1122
13,1189
13,408
13,1449
13,169
13,512
13,1063
13,513
13,114
13,1201
13,1482
14,814
14,1189
14,1467
14,1653
14,1599
14,851
14,1201
14,1500
14,1482
14,1449
15,814
15,1189
15,1536
15,1653
15,1594
15,1482
15,1599
15,1201
15,1398
15,1452
16,169
16,50
16,408
16,114
16,1189
16,515
16,1449
16,187
16,272
16,511
17,1189
17,1467
17,1653
17,1452
17,814
17,1201
17,1482
17,1599
17,1500
17,1449
18,1189
18,814
18,1599
18,1653
18,1467
18,1449
18,1500
18,851
18,1536
18,1201
19,1189
19,814
19,1599
19,851
19,1449
19,1653
19,1130
19,408
19,169
19,1467
20,1653
20,814
20,1599
20,1467
20,1201
20,1189
20,851
20,1616
20,1500
20,1122
21,357
21,169
21,64
21,178
21,114
21,1142
21,89
21,12
21,318
21,1189
22,408
22,169
22,98
22,64
22,12
22,114
22,22
22,318
22,480
22,357
23,814
23,1189
23,1467
23,1599
23,1653
23,1500
23,851
23,1449
23,1482
23,1201
24,1189
24,1449
24,1467
24,1536
24,1599
24,814
24,169
24,408
24,89
24,114
25,1599
25,1189
25,1653
25,814
25,1467
25,1201
25,1500
25,1122
25,1594
25,1235
26,814
26,1189
26,1467
26,1653
26,1449
26,1500
26,1536
26,408
26,169
26,64
27,1467
27,814
27,1189
27,1599
27,1500
27,1653
27,1594
27,1201
27,1235
27,1449
28,1467
28,1189
28,814
28,1599
28,1449
28,1536
28,1653
28,169
28,1500
28,64
29,1189
29,1467
29,814
29,1653
29,1449
29,1594
29,1201
29,1500
29,1536
29,1122
30,1189
30,814
30,1467
30,1599
30,1201
30,1653
30,1122
30,1500
30,1130
30,1536
31,1189
31,814
31,1122
31,1500
31,1616
31,1653
31,1130
31,1398
31,1467
31,1599
32,1189
32,1467
32,1122
32,1449
32,1500
32,1653
32,1594
32,814
32,1064
32,1536
33,1599
33,1189
33,1467
33,1653
33,1536
33,814
33,1293
33,1449
33,1500
33,1122
34,1235
34,1500
34,814
34,1653
34,1189
34,1594
34,851
34,1122
34,1201
34,1616
35,1467
35,1653
35,1189
35,1064
35,814
35,1449
35,1599
35,1398
35,1594
35,1536
36,814
36,1653
36,1122
36,1189
36,1533
36,1500
36,1467
36,1235
36,1616
36,1645
37,1467
37,1653
37,1189
37,814
37,1536
37,1449
37,169
37,64
37,1500
37,408
38,1189
38,143
38,1599
38,1235
38,1550
38,1536
38,1201
38,1064
38,1122
38,966
39,1653
39,1467
39,1189
39,1651
39,814
39,1650
39,1599
39,1122
39,1642
39,1482
40,1189
40,814
40,1599
40,1653
40,1467
40,1201
40,1130
40,1500
40,1482
40,851
41,1189
41,814
41,1467
41,1653
41,1500
41,1599
41,851
41,1122
41,1449
41,1201
42,1189
42,814
42,1467
42,1653
42,22
42,1449
42,1599
42,966
42,1536
42,313
43,1189
43,814
43,1467
43,1536
43,1653
43,1599
43,1449
43,22
43,1500
43,1594
44,814
44,1467
44,1189
44,1599
44,1653
44,1500
44,1201
44,1449
44,851
44,1122
45,1189
45,814
45,1467
45,1500
45,1449
45,1599
45,1201
45,1653
45,851
45,1594
46,814
46,1189
46,1599
46,1616
46,1467
46,851
46,1500
46,1235
46,1482
46,1594
47,1189
47,814
47,127
47,408
47,169
47,1449
47,1467
47,318
47,89
47,98
48,1189
48,1467
48,814
48,1449
48,64
48,169
48,318
48,12
48,127
48,22
49,1189
49,814
49,1467
49,851
49,1599
49,408
49,1482
49,119
49,474
49,1449
50,1653
50,1122
50,1467
50,814
50,1189
50,1636
50,1594
50,1452
50,1500
50,1616
51,22
51,174
51,1467
51,1449
51,169
51,113
51,1653
51,12
51,318
51,114
52,1189
52,814
52,1599
52,1653
52,1467
52,1616
52,1201
52,1594
52,1500
52,851
53,1189
53,814
53,1653
53,1467
53,1500
53,1536
53,1122
53,1594
53,1201
53,851
54,1449
54,1189
54,814
54,1599
54,1201
54,1467
54,1500
54,64
54,1594
54,169
55,98
55,169
55,64
55,127
55,114
55,12
55,408
55,318
55,357
55,480
56,1467
56,1189
56,1653
56,814
56,1599
56,1449
56,1536
56,1122
56,1500
56,1398
57,1189
57,814
57,1449
57,1467
57,1653
57,169
57,22
57,12
57,174
57,408
58,1467
58,1500
58,1293
58,114
58,119
58,1449
58,1653
58,1599
58,1189
58,320
59,1189
59,814
59,1467
59,1500
59,1201
59,1653
59,1594
59,1599
59,1482
59,1616
60,1189
60,814
60,1467
60,1653
60,1599
60,1500
60,1449
60,1201
60,851
60,1536
61,1189
61,1653
61,814
61,1599
61,1449
61,1064
61,1398
61,1201
61,1467
61,1500
62,814
62,1189
62,408
62,1467
62,169
62,1449
62,1599
62,851
62,1201
62,1500
63,1467
63,1189
63,1449
63,169
63,127
63,1653
63,1500
63,12
63,64
63,114
64,1189
64,814
64,1467
64,1653
64,1449
64,1536
64,1500
64,1122
64,1594
64,1599
65,1189
65,814
65,1653
65,1467
65,1599
65,1536
65,1449
65,1500
65,1594
65,1201
66,1653
66,1467
